Attack_Day,Baseline_CR,CR_Omega_30,CR_Omega_40,CR_Omega_50
0,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246
1,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246
2,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246
3,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246
4,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246
5,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246
6,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246
7,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246,-0.3778986729705246
8,-0.3778986729705246,-0.10129331512677708,-0.10129331512677708,-0.10129331512677708
9,-0.3778986729705246,-0.10129331512677708,-0.10129331512677708,-0.10129331512677708
10,-0.3778986729705246,-0.1012933151267771,-0.1012933151267771,-0.1012933151267771
11,-0.3778986729705246,-0.1012933151267771,-0.1012933151267771,-0.1012933151267771
12,-0.3778986729705246,-0.10129331512677708,-0.10129331512677708,-0.10129331512677708
13,-0.3778986729705246,-0.10129331512677708,-0.10129331512677708,-0.10129331512677708
14,-0.3778986729705246,-0.10129331512677708,-0.10129331512677708,-0.10129331512677708
15,-0.3778986729705246,-0.10129331512677708,-0.10129331512677708,-0.10129331512677708
16,-0.3778986729705246,-0.10129331512677708,-0.10129331512677708,-0.10129331512677708
17,-0.3778986729705246,-0.10129331512677708,-0.10129331512677708,-0.10129331512677708
18,-0.3778986729705246,-0.10129327810043609,-0.10129327810043609,-0.10129327810043609
19,-0.3778986729705246,-0.10129327810043609,-0.10129327810043609,-0.10129327810043609
20,-0.3778986729705246,-0.10129327810043609,-0.52433261758787,-0.52433261758787
21,-0.3778986729705246,-0.10129327810043609,-0.52433261758787,-0.52433261758787
22,-0.3778986729705246,-0.10129327810043609,-0.52433261758787,-0.52433261758787
23,-0.3778986729705246,-0.10129327810043609,-0.52433261758787,-0.52433261758787
24,-0.3778986729705246,-0.10129327810043609,-0.52433261758787,-0.52433261758787
25,-0.3778986729705246,-0.10129326548407158,-0.5048533256122731,-0.5048533256122731
26,-0.3778986729705246,-0.10129326548407158,-0.5048533256122731,-0.5048533256122731
27,-0.3778986729705246,-0.10129326548407158,-0.5048533256122731,-0.5048533256122731
28,-0.3778986729705246,-0.10129326548407158,-0.5048533256122731,-0.5048533256122731
29,-0.3778986729705246,-0.10129326548407158,-0.5048533256122731,-0.5048533256122731
30,-0.3778986729705246,-0.10129326548407158,-0.5048533256122731,-0.6464750995360364
31,-0.3778986729705246,-0.10129326548407158,-0.5048533256122731,-0.642907449120503
32,-0.3778986729705246,-0.10129326548407158,-0.5048533256122731,-0.6464037465277259
33,-0.3778986729705246,-0.10129322228671978,-0.5048533256122731,-0.6499699698830932
34,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.6536075656791669
35,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.6573178644580909
36,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.6611023692125935
37,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.6649625640621862
38,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.6610251653156017
39,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.6507803702814492
40,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.6544341251524189
41,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.6581609551208081
42,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.6733356689085903
43,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.6774405297521029
44,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.6816274878124858
45,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.6858981850340764
46,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.7231445657052539
47,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.718043526925808
48,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.7616000132981277
49,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.767470161029431
50,-0.3778986729705246,-0.10129318526057418,-0.5048533236143147,-0.7734577117153604
51,-0.3778986729705246,-0.10129318526057418,-0.5059386648537957,-0.7673504100157125
52,-0.3778986729705246,-0.10129318526057418,-0.5059603716785852,-0.7733355656813676
53,-0.3778986729705246,-0.10129318526057417,-0.5059825126398707,-0.7794404244603357
54,-0.3778986729705246,-0.10129318526057418,-0.5059599288593596,-0.7732134685057882
55,-0.3778986729705246,-0.10129318526057417,-0.46665635448469023,-0.7278296094005632
56,-0.3778986729705246,-0.10129318526057418,-0.4674202938672827,-0.722634869747211
57,-0.3778986729705246,-0.10129318526057418,-0.42890322476936277,-0.6782782951940656
58,-0.3778986729705246,-0.10129318526057418,-0.43042222674626185,-0.6740745818248434
59,-0.3778986729705246,-0.10129318526057418,-0.3926608252826395,-0.6307049193220222
60,-0.3778986729705246,-0.10129318526057418,-0.430451999185009,-0.6739921890428066
61,-0.3778986729705246,-0.10129318526057418,-0.4289639738856739,-0.6781102184240562
62,-0.3778986729705246,-0.10129318526057418,-0.4304817609040318,-0.7151102177196451
63,-0.3778986729705246,-0.10129318526057418,-0.3927505625197562,-0.6709512370003461
64,-0.3778986729705246,-0.10129318526057417,-0.39050850727408,-0.6750084084429928
65,-0.3778986729705246,-0.10129315704269504,-0.3882216121129824,-0.679146761449261
66,-0.3778986729705246,-0.10129315704269504,-0.42750810138201545,-0.7249869661648252
67,-0.3778986729705246,-0.10129315704269504,-0.42905500587423634,-0.7198490809015842
68,-0.3778986729705246,-0.10129315704269504,-0.4305709722766127,-0.714813953343608
69,-0.3778986729705246,-0.10129315704269504,-0.43205663460222377,-0.7394343057257533
70,-0.3778986729705246,-0.10129315704269504,-0.43351256732115945,-0.7345247564181648
71,-0.3778986729705246,-0.10129315704269504,-0.39731899006732485,-0.6920930067783367
72,-0.3778986729705246,-0.10129315704269504,-0.39946967567695835,-0.6881302834496966
73,-0.3778986729705246,-0.10129311384539208,-0.3973620037795174,-0.6920137523117639
74,-0.3778986729705246,-0.10129311384539208,-0.39951182911490724,-0.6880526140724552
75,-0.3778986729705246,-0.10129311384539208,-0.43499530131082453,-0.7295248305715769
76,-0.3778986729705246,-0.10129311384539208,-0.43359814192606105,-0.7342361903760819
77,-0.3778986729705246,-0.10129311384539208,-0.4350232444985199,-0.7294306033754867
78,-0.3778986729705246,-0.10129311384539208,-0.39959608541342395,-0.6878973685087979
79,-0.3778986729705246,-0.10129311384539208,-0.3974909417107123,-0.6917761790720472
80,-0.3778986729705246,-0.1712712795654151,-0.4228515877447583,-0.7232404419581643
81,-0.3778986729705246,-0.1712712795654151,-0.42121155406692096,-0.7278261142986325
82,-0.3778986729705246,-0.1712712795654151,-0.4195387197155268,-0.7325035000859101
83,-0.3778986729705246,-0.1712712795654151,-0.4573440663462286,-0.7767860712580572
84,-0.3778986729705246,-0.13643163537478764,-0.4563938833282717,-0.7824426407732522
85,-0.3778986729705246,-0.13643163537478764,-0.4573630711161958,-0.7766729241482566
86,-0.3778986729705246,-0.13643163537478764,-0.4583128751483614,-0.771018601855761
