setup,model,strategy,assets,attacked_ticker,attack_day,target_signal,target_label,baseline_signal,baseline_label,attacked_signal,attacked_label,success,already_target,valid,min_delta_norm,min_abs_delta_norm,prediction_shift,delta_final_cr,objective,timing_policy
LSTM_GOOGL_MA,LSTM,MA,GOOGL,GOOGL,30,1,BUY,1,BUY,1.0,BUY,True,True,True,0.0,0.0,0.0,0.0,force_buy,uniform
LSTM_GOOGL_MA,LSTM,MA,GOOGL,GOOGL,30,-1,SELL,1,BUY,,NA,False,False,True,,,,,force_sell,uniform
LSTM_GOOGL_MA,LSTM,MA,GOOGL,GOOGL,88,1,BUY,1,BUY,1.0,BUY,True,True,True,0.0,0.0,0.0,0.0,force_buy,uniform
LSTM_GOOGL_MA,LSTM,MA,GOOGL,GOOGL,88,-1,SELL,1,BUY,-1.0,SELL,True,False,True,0.2,0.2,13.346641540527344,0.011491655688141478,force_sell,uniform
LSTM_GOOGL_MA,LSTM,MA,GOOGL,GOOGL,145,1,BUY,-1,SELL,,NA,False,False,True,,,,,force_buy,uniform
LSTM_GOOGL_MA,LSTM,MA,GOOGL,GOOGL,145,-1,SELL,-1,SELL,-1.0,SELL,True,True,True,0.0,0.0,0.0,0.0,force_sell,uniform
LSTM_GOOGL_MA,LSTM,MA,GOOGL,GOOGL,203,1,BUY,1,BUY,1.0,BUY,True,True,True,0.0,0.0,0.0,0.0,force_buy,uniform
LSTM_GOOGL_MA,LSTM,MA,GOOGL,GOOGL,203,-1,SELL,1,BUY,,NA,False,False,True,,,,,force_sell,uniform
LSTM_GOOGL_MA,LSTM,MA,GOOGL,GOOGL,261,1,BUY,-1,SELL,,NA,False,False,True,,,,,force_buy,uniform
LSTM_GOOGL_MA,LSTM,MA,GOOGL,GOOGL,261,-1,SELL,-1,SELL,-1.0,SELL,True,True,True,0.0,0.0,0.0,0.0,force_sell,uniform
LSTM_GOOGL_MA,LSTM,MA,GOOGL,GOOGL,319,1,BUY,-1,SELL,,NA,False,False,True,,,,,force_buy,uniform
LSTM_GOOGL_MA,LSTM,MA,GOOGL,GOOGL,319,-1,SELL,-1,SELL,-1.0,SELL,True,True,True,0.0,0.0,0.0,0.0,force_sell,uniform
LSTM_GOOGL_MA,LSTM,MA,GOOGL,GOOGL,376,1,BUY,-1,SELL,1.0,BUY,True,False,True,-0.15,0.15,-9.846817016601562,0.02088416477397148,force_buy,uniform
